harvest_id,farmer_id,product_id,planting_date,harvest_date,quantity_kg,quality_assessment,post_harvest_loss_pct,storage_method,season,loaded_at
HRV0000001,FMR000001,PRD0084,2024-12-20,2025-01-23,285.85,B,25.72,Silo,2024-A,2025-12-06 15:51:42
HRV0000002,FMR000001,PRD0084,2025-01-18,2025-02-12,941.51,C,24.93,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000003,FMR000002,PRD0066,2024-09-19,2024-12-21,1211.95,A,24.83,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000004,FMR000003,PRD0097,2025-03-25,2025-07-28,241.72,A,20.15,Open Air,2023-A,2025-12-06 15:51:42
HRV0000005,FMR000003,PRD0097,2024-10-25,2025-03-08,930.51,A,29.47,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000006,FMR000003,PRD0097,2024-11-28,2025-04-19,389.75,A,11.66,Silo,2023-A,2025-12-06 15:51:42
HRV0000007,FMR000004,PRD0097,2025-02-26,2025-06-30,665.04,B,19.22,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000008,FMR000004,PRD0097,2025-07-12,2025-11-20,484.77,B,25.04,Silo,2024-A,2025-12-06 15:51:42
HRV0000009,FMR000005,PRD0059,2025-01-09,2025-05-12,3435.4,C,20.3,Silo,2024-A,2025-12-06 15:51:42
HRV0000010,FMR000006,PRD0087,2024-11-10,2025-05-02,1076.16,B,18.78,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000011,FMR000006,PRD0087,2024-07-13,2025-01-03,407.91,A,7.78,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000012,FMR000007,PRD0099,2025-08-07,2025-11-23,13876.57,A,24.95,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000013,FMR000007,PRD0099,2024-10-03,2025-01-30,11985.74,A,5.84,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000014,FMR000008,PRD0070,2024-07-30,2025-07-26,13591.25,C,9.23,Silo,2024-A,2025-12-06 15:51:42
HRV0000015,FMR000008,PRD0070,2024-09-22,2025-09-27,7960.44,A,26.21,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000016,FMR000008,PRD0070,2024-01-01,2025-01-13,12916.55,C,7.26,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000017,FMR000009,PRD0081,2025-05-11,2025-07-29,3407.29,B,18.44,Open Air,2024-A,2025-12-06 15:51:42
HRV0000018,FMR000009,PRD0081,2025-06-21,2025-09-09,3634.24,A,16.03,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000019,FMR000010,PRD0085,2024-08-05,2025-08-06,1035.19,A,19.72,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000020,FMR000011,PRD0095,2024-10-24,2025-01-31,716.38,A,9.28,Silo,2023-A,2025-12-06 15:51:42
HRV0000021,FMR000012,PRD0081,2025-03-28,2025-06-04,438.21,A,16.71,Silo,2023-A,2025-12-06 15:51:42
HRV0000022,FMR000013,PRD0078,2025-02-03,2025-05-01,39570.22,A,11.43,Silo,2023-A,2025-12-06 15:51:42
HRV0000023,FMR000013,PRD0078,2025-08-07,2025-10-31,8447.09,A,17.4,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000024,FMR000014,PRD0089,2023-11-15,2025-11-07,6395.47,B,18.93,Silo,2024-A,2025-12-06 15:51:42
HRV0000025,FMR000015,PRD0066,2025-01-01,2025-03-30,864.27,A,11.61,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000026,FMR000015,PRD0066,2025-08-29,2025-11-21,1384.19,B,28.45,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000027,FMR000016,PRD0058,2024-09-12,2024-12-31,20712.3,B,20.93,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000028,FMR000016,PRD0058,2025-06-06,2025-10-05,16149.08,C,8.21,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000029,FMR000017,PRD0064,2025-01-14,2025-05-09,45441.56,C,9.86,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000030,FMR000017,PRD0064,2025-01-25,2025-05-08,27666.74,A,18.15,Silo,2024-A,2025-12-06 15:51:42
HRV0000031,FMR000017,PRD0064,2025-06-06,2025-10-02,30867.63,C,17.1,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000032,FMR000018,PRD0079,2025-01-20,2025-03-30,585.24,A,28.07,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000033,FMR000018,PRD0079,2024-10-23,2024-12-17,1110.9,C,5.67,Open Air,2023-A,2025-12-06 15:51:42
HRV0000034,FMR000018,PRD0079,2024-11-20,2025-02-01,1767.11,B,17.13,Open Air,2023-A,2025-12-06 15:51:42
HRV0000035,FMR000019,PRD0092,2025-04-14,2025-07-20,972.12,A,10.69,Silo,2023-A,2025-12-06 15:51:42
HRV0000036,FMR000020,PRD0100,2025-04-16,2025-07-15,1076.84,B,24.08,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000037,FMR000020,PRD0100,2024-10-20,2025-01-30,1134.23,B,12.2,Silo,2023-B,2025-12-06 15:51:42
HRV0000038,FMR000020,PRD0100,2025-03-20,2025-07-02,435.52,C,29.21,Open Air,2024-A,2025-12-06 15:51:42
HRV0000039,FMR000021,PRD0078,2024-09-29,2024-12-22,2723.39,C,9.04,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000040,FMR000021,PRD0078,2024-10-28,2025-01-28,2288.74,A,22.34,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000041,FMR000022,PRD0081,2025-08-07,2025-11-03,5547.73,A,21.59,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000042,FMR000023,PRD0066,2025-04-27,2025-08-04,10058.31,C,15.69,Silo,2023-B,2025-12-06 15:51:42
HRV0000043,FMR000023,PRD0066,2025-01-13,2025-04-10,8244.14,A,13.48,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000044,FMR000024,PRD0083,2025-02-06,2025-04-19,324.54,A,21.24,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000045,FMR000024,PRD0083,2025-05-27,2025-07-31,587.76,C,12.63,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000046,FMR000025,PRD0068,2024-06-27,2025-06-20,2110.96,B,14.19,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000047,FMR000025,PRD0068,2024-09-14,2025-09-25,4510.46,A,12.02,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000048,FMR000026,PRD0079,2025-07-05,2025-09-16,992.03,A,27.62,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000049,FMR000027,PRD0088,2024-06-29,2025-03-22,6614.45,B,14.41,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000050,FMR000027,PRD0088,2024-06-09,2025-03-06,7391.93,A,11.79,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000051,FMR000028,PRD0076,2022-06-13,2025-06-09,26413.38,A,10.49,Silo,2023-A,2025-12-06 15:51:42
HRV0000052,FMR000028,PRD0076,2022-06-27,2025-06-25,15256.94,A,23.66,Open Air,2024-A,2025-12-06 15:51:42
HRV0000053,FMR000029,PRD0100,2024-11-07,2025-02-06,6465.1,B,12.32,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000054,FMR000029,PRD0100,2024-11-20,2025-02-27,4957.4,A,27.99,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000055,FMR000030,PRD0099,2024-11-17,2025-02-26,466.95,C,26.42,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000056,FMR000030,PRD0099,2025-05-21,2025-08-30,1707.86,B,21.99,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000057,FMR000030,PRD0099,2025-06-22,2025-10-18,1226.55,B,10.94,Silo,2024-A,2025-12-06 15:51:42
HRV0000058,FMR000031,PRD0098,2024-12-22,2025-05-01,4307.61,B,18.95,Open Air,2023-A,2025-12-06 15:51:42
HRV0000059,FMR000032,PRD0068,2024-08-31,2025-09-01,599.63,B,17.07,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000060,FMR000032,PRD0068,2024-01-25,2025-01-18,433.73,B,27.06,Silo,2023-B,2025-12-06 15:51:42
HRV0000061,FMR000033,PRD0079,2024-11-23,2025-02-01,2293.32,A,23.03,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000062,FMR000033,PRD0079,2025-03-13,2025-05-27,1950.85,B,15.34,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000063,FMR000034,PRD0066,2025-02-24,2025-05-16,30025.12,A,29.67,Silo,2024-A,2025-12-06 15:51:42
HRV0000064,FMR000034,PRD0066,2024-10-11,2025-01-11,39730.92,A,25.47,Silo,2023-A,2025-12-06 15:51:42
HRV0000065,FMR000034,PRD0066,2025-08-26,2025-11-17,24416.82,C,15.33,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000066,FMR000035,PRD0062,2024-07-02,2025-06-10,12639.98,C,12.59,Open Air,2023-B,2025-12-06 15:51:42
HRV0000067,FMR000035,PRD0062,2024-03-04,2025-02-09,6350.5,A,26.03,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000068,FMR000036,PRD0070,2024-01-08,2025-01-03,1473.22,B,25.36,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000069,FMR000036,PRD0070,2024-08-05,2025-08-18,853.83,A,22.74,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000070,FMR000036,PRD0070,2024-07-20,2025-08-02,2001.65,A,16.55,Open Air,2023-B,2025-12-06 15:51:42
HRV0000071,FMR000037,PRD0068,2023-12-11,2024-12-10,14412.49,B,9.38,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000072,FMR000038,PRD0088,2024-10-14,2025-06-30,11953.26,C,29.42,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000073,FMR000038,PRD0088,2024-06-22,2025-03-26,4357.17,A,14.92,Open Air,2023-B,2025-12-06 15:51:42
HRV0000074,FMR000038,PRD0088,2024-08-04,2025-05-06,5672.53,B,11.53,Open Air,2024-A,2025-12-06 15:51:42
HRV0000075,FMR000039,PRD0091,2025-04-18,2025-07-18,10413.32,B,29.47,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000076,FMR000040,PRD0068,2024-11-05,2025-11-05,3448.6,A,24.52,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000077,FMR000040,PRD0068,2024-11-08,2025-11-11,2825.46,A,10.15,Warehouse,2023-A,2025-12-06 15:51:42
