price_id,product_id,market_id,price_date,wholesale_price,retail_price,price_trend,source
PRC00000001,PRD0001,MKT0005,2024-12-07,1370.04,1719.82,Stable,Market Survey
PRC00000002,PRD0001,MKT0005,2024-12-08,1364.53,1941.56,Stable,Cooperative Report
PRC00000003,PRD0001,MKT0005,2024-12-09,1393.67,1909.14,Up,Uganda Commodity Exchange
PRC00000004,PRD0001,MKT0005,2024-12-10,1364.33,1860.78,Down,Ministry of Agriculture
PRC00000005,PRD0001,MKT0005,2024-12-11,1315.74,1854.07,Down,Cooperative Report
PRC00000006,PRD0001,MKT0005,2024-12-12,1275.05,1884.8,Down,Market Survey
PRC00000007,PRD0001,MKT0005,2024-12-13,1272.15,1872.43,Stable,Market Survey
PRC00000008,PRD0001,MKT0005,2024-12-14,1262.07,1844.79,Stable,Cooperative Report
PRC00000009,PRD0001,MKT0005,2024-12-15,1300.8,1668.26,Up,Uganda Commodity Exchange
PRC00000010,PRD0001,MKT0005,2024-12-16,1238.26,1687.44,Down,Market Survey
PRC00000011,PRD0001,MKT0005,2024-12-17,1244.19,1687.83,Stable,Market Survey
PRC00000012,PRD0001,MKT0005,2024-12-18,1219.86,1596.84,Stable,Cooperative Report
PRC00000013,PRD0001,MKT0005,2024-12-19,1227.72,1474.86,Stable,Market Survey
PRC00000014,PRD0001,MKT0005,2024-12-20,1192.68,1619.65,Down,Market Survey
PRC00000015,PRD0001,MKT0005,2024-12-21,1174.35,1449.79,Stable,Ministry of Agriculture
PRC00000016,PRD0001,MKT0005,2024-12-22,1185.69,1770.29,Stable,Market Survey
PRC00000017,PRD0001,MKT0005,2024-12-23,1180.07,1663.03,Stable,Market Survey
PRC00000018,PRD0001,MKT0005,2024-12-24,1215.17,1662.41,Up,Market Survey
PRC00000019,PRD0001,MKT0005,2024-12-25,1286.66,1597.01,Up,Market Survey
PRC00000020,PRD0001,MKT0005,2024-12-26,1298.48,1857.82,Stable,Market Survey
PRC00000021,PRD0001,MKT0005,2024-12-27,1255.58,1788.13,Down,Uganda Commodity Exchange
PRC00000022,PRD0001,MKT0005,2024-12-28,1241.98,1818.12,Stable,Ministry of Agriculture
PRC00000023,PRD0001,MKT0005,2024-12-29,1268.07,1593.8,Up,Cooperative Report
PRC00000024,PRD0001,MKT0005,2024-12-30,1254.02,1734.06,Stable,Uganda Commodity Exchange
PRC00000025,PRD0001,MKT0005,2024-12-31,1282.92,1866.81,Up,Cooperative Report
PRC00000026,PRD0001,MKT0005,2025-01-01,1226.97,1830.92,Down,Market Survey
PRC00000027,PRD0001,MKT0005,2025-01-02,1259.38,1653.98,Up,Cooperative Report
PRC00000028,PRD0001,MKT0005,2025-01-03,1302.01,1620.37,Up,Ministry of Agriculture
PRC00000029,PRD0001,MKT0005,2025-01-04,1234.8,1484.79,Down,Cooperative Report
PRC00000030,PRD0001,MKT0005,2025-01-05,1231.88,1819.37,Stable,Uganda Commodity Exchange
PRC00000031,PRD0001,MKT0005,2025-01-06,1158.93,1407.79,Down,Market Survey
PRC00000032,PRD0001,MKT0005,2025-01-07,1161.47,1416.29,Stable,Uganda Commodity Exchange
PRC00000033,PRD0001,MKT0005,2025-01-08,1162.59,1736.9,Stable,Uganda Commodity Exchange
PRC00000034,PRD0001,MKT0005,2025-01-09,1109.23,1540.07,Down,Market Survey
PRC00000035,PRD0001,MKT0005,2025-01-10,1135.19,1373.1,Up,Market Survey
PRC00000036,PRD0001,MKT0005,2025-01-11,1172.75,1409.19,Up,Uganda Commodity Exchange
PRC00000037,PRD0001,MKT0005,2025-01-12,1213.41,1486.28,Up,Market Survey
PRC00000038,PRD0001,MKT0005,2025-01-13,1244.87,1647.54,Up,Market Survey
PRC00000039,PRD0001,MKT0005,2025-01-14,1197.45,1782.14,Down,Market Survey
PRC00000040,PRD0001,MKT0005,2025-01-15,1157.14,1533.1,Down,Ministry of Agriculture
PRC00000041,PRD0001,MKT0005,2025-01-16,1106.54,1598.0,Down,Ministry of Agriculture
PRC00000042,PRD0001,MKT0005,2025-01-17,1081.16,1407.32,Down,Market Survey
PRC00000043,PRD0001,MKT0005,2025-01-18,1068.23,1552.99,Stable,Uganda Commodity Exchange
PRC00000044,PRD0001,MKT0005,2025-01-19,1067.85,1485.04,Stable,Ministry of Agriculture
PRC00000045,PRD0001,MKT0005,2025-01-20,1061.57,1398.73,Stable,Ministry of Agriculture
PRC00000046,PRD0001,MKT0005,2025-01-21,1055.37,1398.05,Stable,Uganda Commodity Exchange
PRC00000047,PRD0001,MKT0005,2025-01-22,1040.52,1372.49,Stable,Market Survey
PRC00000048,PRD0001,MKT0005,2025-01-23,1069.57,1574.66,Up,Cooperative Report
PRC00000049,PRD0001,MKT0005,2025-01-24,1069.55,1601.76,Stable,Cooperative Report
PRC00000050,PRD0001,MKT0005,2025-01-25,1095.15,1479.58,Up,Uganda Commodity Exchange
PRC00000051,PRD0001,MKT0005,2025-01-26,1071.8,1298.9,Down,Market Survey
PRC00000052,PRD0001,MKT0005,2025-01-27,1078.83,1466.91,Stable,Market Survey
PRC00000053,PRD0001,MKT0005,2025-01-28,1048.4,1505.32,Down,Market Survey
PRC00000054,PRD0001,MKT0005,2025-01-29,1040.9,1299.74,Stable,Market Survey
PRC00000055,PRD0001,MKT0005,2025-01-30,1045.93,1444.21,Stable,Cooperative Report
PRC00000056,PRD0001,MKT0005,2025-01-31,1043.98,1302.07,Stable,Ministry of Agriculture
PRC00000057,PRD0001,MKT0005,2025-02-01,1105.98,1609.6,Up,Cooperative Report
PRC00000058,PRD0001,MKT0005,2025-02-02,1156.36,1608.24,Up,Ministry of Agriculture
PRC00000059,PRD0001,MKT0005,2025-02-03,1121.19,1384.36,Down,Ministry of Agriculture
PRC00000060,PRD0001,MKT0005,2025-02-04,1102.98,1532.7,Stable,Market Survey
PRC00000061,PRD0001,MKT0005,2025-02-05,1105.17,1587.81,Stable,Uganda Commodity Exchange
PRC00000062,PRD0001,MKT0005,2025-02-06,1116.33,1638.24,Stable,Ministry of Agriculture
PRC00000063,PRD0001,MKT0005,2025-02-07,1129.71,1475.67,Stable,Ministry of Agriculture
PRC00000064,PRD0001,MKT0005,2025-02-08,1146.89,1413.65,Stable,Uganda Commodity Exchange
PRC00000065,PRD0001,MKT0005,2025-02-09,1137.59,1542.77,Stable,Uganda Commodity Exchange
PRC00000066,PRD0001,MKT0005,2025-02-10,1175.17,1687.28,Up,Ministry of Agriculture
PRC00000067,PRD0001,MKT0005,2025-02-11,1210.67,1503.91,Up,Uganda Commodity Exchange
PRC00000068,PRD0001,MKT0005,2025-02-12,1249.04,1506.97,Up,Market Survey
PRC00000069,PRD0001,MKT0005,2025-02-13,1255.7,1560.88,Stable,Ministry of Agriculture
PRC00000070,PRD0001,MKT0005,2025-02-14,1233.76,1840.17,Stable,Ministry of Agriculture
PRC00000071,PRD0001,MKT0005,2025-02-15,1256.43,1515.04,Stable,Uganda Commodity Exchange
PRC00000072,PRD0001,MKT0005,2025-02-16,1246.05,1656.49,Stable,Ministry of Agriculture
PRC00000073,PRD0001,MKT0005,2025-02-17,1294.78,1764.89,Up,Uganda Commodity Exchange
PRC00000074,PRD0001,MKT0005,2025-02-18,1237.93,1504.42,Down,Ministry of Agriculture
PRC00000075,PRD0001,MKT0005,2025-02-19,1210.47,1710.51,Down,Uganda Commodity Exchange
PRC00000076,PRD0001,MKT0005,2025-02-20,1217.13,1517.62,Stable,Ministry of Agriculture
PRC00000077,PRD0001,MKT0005,2025-02-21,1268.55,1778.03,Up,Uganda Commodity Exchange
PRC00000078,PRD0001,MKT0005,2025-02-22,1261.82,1567.3,Stable,Cooperative Report
PRC00000079,PRD0001,MKT0005,2025-02-23,1280.9,1746.08,Stable,Market Survey
