transaction_id,farmer_id,buyer_id,product_id,market_id,quantity_kg,quality_grade,unit_price,total_amount,transaction_date,payment_method,payment_status,blockchain_hash
TXN00000001,FMR000453,BYR00390,PRD0070,MKT0153,162.67,B,1015.2,165142.58,2025-11-29 15:51:22,Cash,Paid,c31d7d2e938e6a9681d6b9d8742423930737af0a399f8b7f4f9e2e1d100f8a9f
TXN00000002,FMR001190,BYR00124,PRD0070,MKT0190,290.14,A,1236.54,358769.72,2025-10-02 15:51:22,Mobile Money,Paid,0b42d9c1089b52aaf94edcf4794e295e43f40af835e050c86b63a729cc7bda33
TXN00000003,FMR000082,BYR00421,PRD0084,MKT0031,136.6,A,2766.59,377916.19,2025-11-09 15:51:22,Cash,Failed,
TXN00000004,FMR001039,BYR00412,PRD0014,MKT0153,673.79,B,2347.23,1581540.1,2025-05-23 15:51:22,Bank Transfer,Paid,9d0d9b9a9677877370f1bb635caea9a15e3fcd8032216f0bfa78fbf3245d2ad6
TXN00000005,FMR000435,BYR00475,PRD0033,MKT0097,290.16,C,1108.29,321581.43,2025-10-01 15:51:22,Mobile Money,Paid,abcf62cedbaa35b0ffae9375b44795a8d630ea98ace7811b08bea19ef98d7be2
TXN00000006,FMR001820,BYR00147,PRD0034,MKT0145,128.6,A,3364.62,432690.13,2025-08-19 15:51:22,Cash,Paid,38ab71bd6788f0ea36a08b2b5ecbb6cdc386374340bf600beafa8289aac71ae0
TXN00000007,FMR000291,BYR00302,PRD0015,MKT0185,787.73,B,776.14,611388.76,2025-10-14 15:51:22,Mobile Money,Paid,bf8a1c912c2f9dd209fe2785c762f43c5a5af1c39447f551ed054bc6f9bfbb30
TXN00000008,FMR000875,BYR00490,PRD0035,MKT0021,36.16,A,2951.91,106741.07,2025-11-16 15:51:22,Cash,Paid,75d4ff94877dbf833e2115037329efc95ae6108df7c82c4428c6fdce6531d690
TXN00000009,FMR000711,BYR00164,PRD0067,MKT0089,236.6,B,1672.96,395822.34,2025-10-15 15:51:22,Cash,Paid,ff16d38be3d92c4418db99ec292f76954f737d2b4c92d9dae01952833229526a
TXN00000010,FMR001697,BYR00152,PRD0029,MKT0169,172.43,B,1949.3,336117.8,2025-05-06 15:51:22,Cash,Paid,e62f27c584c58e8e4eb3f882786db7e641a09526f98a362541aae8bc3d370246
TXN00000011,FMR001515,BYR00031,PRD0037,MKT0097,21.97,C,1733.39,38082.58,2025-06-22 15:51:22,Bank Transfer,Pending,
TXN00000012,FMR000456,BYR00142,PRD0033,MKT0122,79.21,B,1206.9,95598.55,2025-12-01 15:51:22,Cash,Paid,6c6ce181fdeadcd097cc9399bbe12c884932babd742a90a30c318b109eb395fe
TXN00000013,FMR001230,BYR00038,PRD0057,MKT0115,689.35,A,5081.4,3502863.09,2025-09-21 15:51:22,Mobile Money,Paid,778896f2fd6fc8879f6d36a977697cc85a044b9ba95cb7756a334164fbbe3056
TXN00000014,FMR000890,BYR00213,PRD0069,MKT0199,277.1,A,1197.2,331744.12,2025-06-17 15:51:22,Cash,Paid,2ef0d326fbc1d79557cede7cfd6674597b35329450bd0a8b296e642820123723
