weather_id,district,weather_date,temperature_min,temperature_max,temperature_avg,rainfall_mm,humidity_pct,wind_speed_kmh,weather_condition,source,loaded_at
WTH00000001,Kampala,2024-12-06,18.14,30.24,25.11,0.0,54.03,16.85,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000002,Kampala,2024-12-07,19.59,31.85,26.02,0.0,65.27,6.34,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000003,Kampala,2024-12-08,18.76,34.29,26.5,0.0,53.61,0.15,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000004,Kampala,2024-12-09,17.22,32.12,24.64,0.0,55.71,8.39,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000005,Kampala,2024-12-10,16.33,28.45,23.37,0.0,63.44,9.18,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000006,Kampala,2024-12-11,17.19,29.8,23.68,0.0,69.6,19.16,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000007,Kampala,2024-12-12,17.09,31.12,24.51,0.0,56.54,15.59,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000008,Kampala,2024-12-13,16.42,29.92,23.23,0.0,69.97,3.6,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000009,Kampala,2024-12-14,20.36,31.35,25.94,0.0,86.94,17.63,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000010,Kampala,2024-12-15,19.0,29.59,24.24,0.0,70.28,4.82,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000011,Kampala,2024-12-16,19.64,32.86,26.43,0.0,59.43,2.23,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000012,Kampala,2024-12-17,17.77,32.71,24.95,0.0,81.96,3.9,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000013,Kampala,2024-12-18,17.24,31.49,23.58,0.0,74.42,17.25,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000014,Kampala,2024-12-19,19.05,32.62,26.93,0.0,70.73,12.47,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000015,Kampala,2024-12-20,19.48,31.24,25.28,0.0,81.44,11.28,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000016,Kampala,2024-12-21,17.36,30.03,23.56,0.0,86.3,17.94,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000017,Kampala,2024-12-22,17.92,30.64,25.03,14.87,76.79,1.3,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000018,Kampala,2024-12-23,19.66,33.72,26.5,12.68,84.28,17.13,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000019,Kampala,2024-12-24,17.0,29.12,24.09,0.0,51.33,13.57,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000020,Kampala,2024-12-25,14.1,28.61,22.05,0.0,65.73,1.73,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000021,Kampala,2024-12-26,16.6,30.59,24.29,0.0,89.72,4.37,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000022,Kampala,2024-12-27,17.67,30.58,25.38,8.69,59.35,2.15,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000023,Kampala,2024-12-28,20.19,33.67,26.22,0.0,59.19,14.11,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000024,Kampala,2024-12-29,15.08,28.48,22.24,0.0,78.57,9.01,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000025,Kampala,2024-12-30,19.4,32.22,26.21,9.69,58.35,5.31,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000026,Kampala,2024-12-31,17.89,31.36,23.42,0.0,84.1,16.07,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000027,Kampala,2025-01-01,15.74,28.76,22.25,3.08,69.75,16.01,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000028,Kampala,2025-01-02,18.75,32.22,25.43,0.0,86.44,3.6,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000029,Kampala,2025-01-03,16.23,29.35,23.81,0.0,50.4,9.72,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000030,Kampala,2025-01-04,15.99,29.41,22.82,7.96,77.52,11.57,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000031,Kampala,2025-01-05,18.57,31.01,25.3,0.0,84.78,19.13,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
